"","X_id","beachId","beachName","siteName","collectionDate","eColi","comments","geometry"
"78",78,2,"Sunnyside Beach","23W","2024-09-02",NA,"No data","{'type': 'MultiPoint', 'coordinates': [[-79.461525, 43.63625]]}"
"79",79,2,"Sunnyside Beach","18W","2024-09-02",440,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45267, 43.636612]]}"
"80",80,2,"Sunnyside Beach","17W","2024-09-02",340,"None","{'type': 'MultiPoint', 'coordinates': [[-79.451, 43.63639]]}"
"81",81,2,"Sunnyside Beach","20W","2024-09-02",10,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45564, 43.637165]]}"
"82",82,2,"Sunnyside Beach","21W","2024-09-02",10,"<","{'type': 'MultiPoint', 'coordinates': [[-79.45753, 43.63711]]}"
"83",83,2,"Sunnyside Beach","19W","2024-09-02",60,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45411, 43.63711]]}"
"84",84,2,"Sunnyside Beach","22W","2024-09-02",30,"None","{'type': 'MultiPoint', 'coordinates': [[-79.46005, 43.636723]]}"
"85",85,1,"Marie Curtis Park East Beach","29W","2024-09-01",230,"None","{'type': 'MultiPoint', 'coordinates': [[-79.539696, 43.58592]]}"
"86",86,1,"Marie Curtis Park East Beach","33W","2024-09-01",220,"None","{'type': 'MultiPoint', 'coordinates': [[-79.540886, 43.58486]]}"
"87",87,1,"Marie Curtis Park East Beach","32W","2024-09-01",240,"None","{'type': 'MultiPoint', 'coordinates': [[-79.54056, 43.58511]]}"
"88",88,1,"Marie Curtis Park East Beach","31W","2024-09-01",200,"None","{'type': 'MultiPoint', 'coordinates': [[-79.54039, 43.585304]]}"
"89",89,1,"Marie Curtis Park East Beach","30W","2024-09-01",200,"None","{'type': 'MultiPoint', 'coordinates': [[-79.540054, 43.58561]]}"
"90",90,2,"Sunnyside Beach","23W","2024-09-01",NA,"None","{'type': 'MultiPoint', 'coordinates': [[-79.461525, 43.63625]]}"
"91",91,2,"Sunnyside Beach","18W","2024-09-01",910,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45267, 43.636612]]}"
"92",92,2,"Sunnyside Beach","17W","2024-09-01",210,"None","{'type': 'MultiPoint', 'coordinates': [[-79.451, 43.63639]]}"
"93",93,2,"Sunnyside Beach","20W","2024-09-01",170,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45564, 43.637165]]}"
